"filename", "language", "Python", "Shell Script", "CSV", "JSON", "comment", "blank", "total"
"c:\Users\viktor\Documents\liquid\liquid\vae\trainer.py", "Python", -66, 0, 0, 0, -30, -17, -113
"c:\Users\viktor\Documents\liquid\liquid\vae\vector_quantizer.py", "Python", -32, 0, 0, 0, -73, -18, -123
"c:\Users\viktor\Documents\liquid\liquid\vae\vector_quantizer_ema.py", "Python", -47, 0, 0, 0, -81, -24, -152
"c:\Users\viktor\Documents\liquid\liquid\vae\visualize.ipynb", "JSON", 0, 0, 0, -164, 0, -1, -165
"c:\Users\viktor\Documents\liquid\liquid\visualizer.py", "Python", 151, 0, 0, 0, 0, 30, 181
"c:\Users\viktor\Documents\liquid\main_exp.csv", "CSV", 0, 0, 33601, 0, 0, 1, 33602
"c:\Users\viktor\Documents\liquid\nmi_optimize_4h.csv", "CSV", 0, 0, 76, 0, 0, 1, 77
"c:\Users\viktor\Documents\liquid\obsolete\council.py", "Python", 16, 0, 0, 0, 3, 13, 32
"c:\Users\viktor\Documents\liquid\obsolete\dictator_council.py", "Python", 27, 0, 0, 0, 4, 20, 51
"c:\Users\viktor\Documents\liquid\obsolete\graph_methodology.py", "Python", 90, 0, 0, 0, 4, 23, 117
"c:\Users\viktor\Documents\liquid\obsolete\image_citizen.py", "Python", 57, 0, 0, 0, 0, 30, 87
"c:\Users\viktor\Documents\liquid\obsolete\majority_council.py", "Python", 34, 0, 0, 0, 4, 23, 61
"c:\Users\viktor\Documents\liquid\obsolete\vae\auto_encoder.py", "Python", 70, 0, 0, 0, 30, 19, 119
"c:\Users\viktor\Documents\liquid\obsolete\vae\cifar10_dataset.py", "Python", 57, 0, 0, 0, 26, 15, 98
"c:\Users\viktor\Documents\liquid\obsolete\vae\configuration.py", "Python", 83, 0, 0, 0, 66, 25, 174
"c:\Users\viktor\Documents\liquid\obsolete\vae\decoder.py", "Python", 50, 0, 0, 0, 29, 15, 94
