batch_size,confidence_std_kendall_results,confidence_std_spread_results,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,n_input,n_output,name,nbytes_results,rmse_results,train_rmse_results,train_time_results,verbose,alg
1024,0.0580824037882161,1.2942300102583284,26.0,1.0,999.0,12,7,336,9,1,protein,66110336,2.830662374513297,2.222856222844869,84.16026684083045,0,rf
1024,0.0106876131943414,1.0613075010911113,35.0,1.0,999.0,28,5,126,9,1,protein,10468608,2.9255343488506518,2.733078706083563,28.28724592924118,0,rf
1024,0.0411390437135235,22040.63716484575,99.0,1.0,999.0,1,4,511,9,1,protein,777386560,2.2947068395772425,0.9656171160154572,165.50922171212733,0,rf
1024,0.0391660412031362,0.8684453440557716,99.0,1.0,999.0,36,2,66,9,1,protein,4242944,3.15753646778662,2.857744383470879,14.1685028988868,0,rf
1024,0.0006126072208807,0.7331803279601546,14.0,1.0,204.0,2,7,702,9,1,protein,18285696,3.3073052648578694,3.0505398017350505,140.5304200835526,0,rf
1024,0.0203857456832537,1.5225288656328464,76.0,1.0,999.0,10,3,789,9,1,protein,187025728,2.6068054506268923,2.1180922616634934,201.63036658242345,0,rf
1024,0.0321836511653091,7.929167266758365,32.0,1.0,999.0,2,2,15,9,1,protein,19489856,2.39827589006641,1.1531843130777888,4.653275329619646,0,rf
1024,0.027299570745703,0.8371803709146873,73.0,1.0,999.0,31,20,364,9,1,protein,27258880,2.984480173400709,2.781567647334168,72.38928337302059,0,rf
1024,0.0297533818072964,1.0128398851512614,51.0,1.0,829.0,5,2,64,9,1,protein,6787072,2.850344668771402,2.2268507702482503,15.340664071962236,0,rf
1024,0.0383318736025081,1.5479545553208705,31.0,1.0,999.0,3,31,513,9,1,protein,111254464,2.686048776379628,2.097183455084976,138.09422924369574,0,rf
1024,0.0398399700535499,2.625772339171818,19.0,1.0,999.0,6,37,51,9,1,protein,7865792,2.753016001627959,2.3021150160754225,12.958637807518244,0,rf
1024,0.0435692532598104,0.5407479185490277,9.0,1.0,999.0,12,3,608,9,1,protein,24089344,3.314421966230753,3.160738536550337,112.26015294156969,0,rf
1024,0.0665083176034466,3.4259000020233423,69.0,1.0,999.0,2,9,35,9,1,protein,23175488,2.5240150842745197,1.3891699282168666,10.3854825142771,0,rf
1024,0.0361999579272878,1.5196235120743875,61.0,1.0,999.0,10,39,541,9,1,protein,76428480,2.772329590103052,2.3718073583272914,134.01166897825897,0,rf
