batch_size,best_rmse_results,body_dropout,confidence_gate_kendall_results,confidence_gate_spread_results,confidence_std_kendall_results,confidence_std_spread_results,epoch,layers_body,layers_router,load_distribution_lambda,lr,n_citizens,n_input,n_output,name,nbytes_results,power_entropy_results,rmse_results,router_dropout,speaker_entropy_results,specialization_lambda,train_time_results,verbose,width_body,width_router,alg
1024,1.415639162453022,0.0522851279823459,-0.0458210667107604,0.08006596,0.1315350148507836,0.2658896,185,4,4,0.4269085492670892,0.00270784892132,43,9,1,protein,19541144,0.594789445400238,4.148788,0.0307481083230697,3.1694483482169744e-08,0.7032816105236318,331.20285319909453,0,192,60,moe
1024,1.6660746797084427,0.0988573541630565,-0.0672855666191714,0.11794902,-0.0304433680450194,0.19369017,196,1,5,0.3939503457694564,0.0009848873927457,19,9,1,protein,383304,0.3858676314353942,7.793311,0.0,0.4187901794910431,0.849745664425349,118.73139343969524,0,159,121,moe
1024,2.2862970359163284,0.3225440506129639,0.312540481477496,0.17828539,-0.0739640812792438,0.1461736,120,8,3,0.3185064687838107,0.003637191385101,7,9,1,protein,581912,0.4457145512104034,0.8448636,0.2423359026510724,0.2563967198133469,0.9092213470456793,84.70406024903059,0,33,205,moe
1024,2.186201876980667,0.1396372748612894,0.1437943029012526,6.903086e-06,0.0043085645805038,0.20618206,134,3,6,0.6450263886303492,0.0049262623302911,6,9,1,protein,10893080,0.3478464484214782,1.753779,0.16111222341101,6.653197459627337e-08,0.63033346198119,63.72485254891217,0,282,589,moe
1024,1.954488436048317,0.100129398414246,0.2130605298895573,0.11808012,0.0168009189398073,0.46671999,190,4,6,0.3050692712338562,0.0014253382107371,14,9,1,protein,6238528,0.2710510969161987,1.6092712,0.2753889990367004,0.0301485356878814,0.6844508630409797,149.475223954767,0,105,461,moe
1024,1.974350824451542,0.35184809627156,0.1108773972611795,0.0945865,-0.0200274380023716,0.33377367,130,6,6,0.0,0.0012268755023001,25,9,1,protein,11558160,0.2583419114351272,0.94450825,0.1674437117781302,0.3128374814987182,0.8770022735907157,191.5965288206935,0,119,459,moe
1024,2.0083638486008835,0.3276605626093239,0.147882438189608,0.14900121,-0.1061722467634643,0.046123073,167,8,3,0.5648068192487504,0.0011732861920021,5,9,1,protein,854260,0.4127038419246673,0.8201376,0.2035935503901187,0.2738658398389816,0.8575973855344015,98.86751243658364,0,24,305,moe
1024,1.9126568527225496,0.0764476532933323,-0.0649304079675779,0.007824974,0.0941548194452445,0.2606468,187,4,3,0.3900670346947812,0.0041744828924227,36,9,1,protein,6683168,0.7818333625793457,3.2768657,0.3173488965642422,0.273235011100769,0.7041262911892726,271.01839767955244,0,122,20,moe
1024,2.3937486236992074,0.0472128306693662,0.1330540505018735,0.124861725,-0.0749321463262377,0.15046225,56,4,1,0.4868932077964601,0.0004594538902908,23,9,1,protein,23454176,0.6397217273712158,3.5293136,0.0,0.2477582901716232,0.276470035934344,58.05246883258224,0,289,227,moe
1024,2.0822552657794193,0.2451365877626547,0.3451201252453144,0.25138327,-0.0503174627458929,0.35986784,182,4,3,0.0668343020070079,0.0025187804190783,3,9,1,protein,723644,0.5515775084495544,1.6873161,0.2202051512192197,0.6141143202781677,0.875519080106608,74.33013425208628,0,94,217,moe
1024,1.7514946984012605,0.0370143906611904,0.1368258892028905,0.092711374,-0.0871566816261374,0.039779082,179,5,4,0.0,0.0046204077068114,10,9,1,protein,6498640,0.095887866616249,1.0763876,0.0451726388997564,0.2241954326629638,0.9055591886488172,127.34910342283548,0,157,449,moe
1024,2.213132808763218,0.3625052886754296,0.1701332803121361,0.28557304,-0.0233077158629841,3.9254472,141,6,2,0.0,0.0007706964693978,3,9,1,protein,4315860,0.505832952260971,0.9337906,0.1593379539197613,0.6198132991790771,0.4995710608595387,59.20381649956107,0,266,63,moe
1024,2.5748430474626733,0.1730415040811922,0.1298277099381902,0.046330735,-0.0454269382956208,0.1426648,130,7,4,0.0,0.0004264948704603,31,9,1,protein,2135140,0.6641602039337158,1.5481762,0.0366455931585293,0.2040748685598373,0.6234208872948092,254.45286151766777,0,52,27,moe
1024,2.4179961235860064,0.2356185583405592,0.0196330868638718,0.09550886,-0.1107879786698329,0.20771886,63,5,1,0.0,0.0015618072280199,42,9,1,protein,6382952,0.4295787870883941,3.6042185,0.0721403040706413,0.2065213322639465,0.2750027109190026,119.54169662296772,0,95,377,moe
1024,2.098734862614098,0.3261003946449212,0.3228268586552039,0.10953147,0.0660749705550919,0.07511373,112,5,4,0.7436803394482823,0.0049035419286704,10,9,1,protein,9203240,0.2725664734840393,1.0872419,0.1042934380686719,0.271906715631485,0.1642347918446969,79.57214866764843,0,158,649,moe
1024,1.9913100066172982,0.1456269873970337,0.0458015790238194,0.15025473,-0.0602576408052586,0.24505784,198,6,2,0.4483675155408023,0.0039110071371414,10,9,1,protein,7254328,0.473367440700531,1.5527145,0.1017397881096665,0.4646580636501312,0.4688568678703568,147.7756822463125,0,167,616,moe
1024,2.2914046380017474,0.2719328892656839,-0.0844196253392033,0.09498574,-0.1099406789798026,0.25422826,89,3,2,0.6623427129087377,0.0011038316331763,44,9,1,protein,2700016,0.574216079711914,3.0068214,0.2515744757368285,0.275128823518753,0.7328925960831938,128.05283280462027,0,82,165,moe
1024,2.2785656907177736,0.2996850564092418,0.26283800283465,0.11086472,-0.1134324500145359,0.15521882,64,4,3,0.8429368199289466,0.0028331628254797,8,9,1,protein,5163392,0.5943366885185242,1.2262768,0.3792340598511945,0.1441062986850738,0.8534001992696617,36.82243601232767,0,100,716,moe
1024,2.2338557409648896,0.3285354157051069,0.0060809007180607,0.07990623,-0.0455574802521697,0.3418195,73,4,1,0.2232111338736595,0.0021363700379518,32,9,1,protein,33285056,0.7346854329109191,2.811174,0.2414239642951984,0.164334562420845,0.9388689912640712,98.26214478723703,0,292,120,moe
1024,2.2367063991023253,0.0992858798522537,-0.0220277887664371,0.1323879,0.0032051369141631,1.5741217,63,4,2,0.7180215559047134,0.0042748580844933,4,9,1,protein,2104000,0.6944244623184204,1.9701502,0.1561314427591763,0.3199080377817154,0.9543433307649084,27.100139720365405,0,173,389,moe
1024,2.0005800163337706,0.0038940467025563,-0.0858319586322363,8.286834e-05,-0.0042554013441846,0.5414069,179,5,5,0.8627041144453275,0.0019525045457115,8,9,1,protein,18327744,0.3163091242313385,0.9649441,0.1517598359056153,5.73275578119592e-08,0.1591932770531265,114.20065333135426,0,293,668,moe
1024,2.2162521884853743,0.1601111806021992,0.0252613994743954,0.07875492,0.1142610702901454,0.18663925,176,6,2,0.4165045774499875,0.0041591249777064,17,9,1,protein,2442320,0.7093494892120361,1.7363616,0.0668685312603296,0.228646034002304,0.0637816540808313,183.41449040919545,0,83,37,moe
1024,1.9749868944846916,0.0431613792824617,-0.1737021063152628,0.007074837,-0.146076743476932,0.028180264,110,7,1,0.0,0.004242095975519,27,9,1,protein,34737512,0.8986940383911133,23.410685,0.3729037013932863,3.61696592676708e-08,0.0954500104935791,180.53761379607025,0,230,242,moe
1024,2.24822804302845,0.1817200629962085,-0.0675801671516076,0.030315628,0.1638758171961554,0.29062322,160,3,4,0.8062410444920447,0.0038249339263305,23,9,1,protein,1141780,0.7772400379180908,3.5131564,0.3315869624202159,0.2475847423076629,0.9711440726874124,148.37114744260907,0,75,32,moe
1024,2.0390988111928943,0.1142200679665505,0.1831376767544404,0.08801579,-0.085355643197023,0.748365,132,5,5,0.6443662577725194,0.0015121075797548,11,9,1,protein,6888264,0.2870771050453186,0.8630589,0.3465567421236648,4.9714142136281225e-08,0.4545487138675358,99.12974107451736,0,95,569,moe
1024,2.5274033429244613,0.3419960553839669,0.1564572787726064,0.1453399,-0.0112925261767138,0.19982049,165,1,1,0.5408605833152133,0.0028404466741935,21,9,1,protein,173984,0.238849937915802,14.99296,0.016223140106348,0.2181365191936493,0.9071001299788268,100.42259279079737,0,119,515,moe
1024,2.080673207882729,0.2163031645024877,0.1001934482996735,0.053332604,0.054602159574706,0.36455238,184,4,1,0.1842267413317014,0.0041288097906822,16,9,1,protein,9886520,0.6650637865066529,1.5880133,0.3841404254416951,0.3876473605632782,0.279792277047176,154.3672553114593,0,224,499,moe
