batch_size,best_rmse_results,confidence_D_diagonal_kendall_results,confidence_D_diagonal_spread_results,confidence_D_entropy_kendall_results,confidence_D_entropy_spread_results,confidence_power_kendall_results,confidence_power_spread_results,confidence_std_kendall_results,confidence_std_spread_results,dropout_body,dropout_d,dropout_y,epoch,layers_body,layers_d,layers_y,load_distribution_lambda,lr,n_citizens,n_input,n_output,name,nbytes_results,power_entropy_results,rmse_results,solver,speaker_entropy_results,specialization_lambda,train_time_results,verbose,width_body,width_d,width_y,alg
1024,2.8939461758826828,0.0273652490461138,0.05419304,0.1351638814763352,0.06758865,0.1393846327338492,0.14226377,-0.0338116524381898,3.6947424,0.1460307789076323,0.388493205734542,0.3903441033326348,180,2,1,2,0.3298637206482954,0.0023592247710837,7,9,1,protein,2476908,0.4640001595020294,7.536117,sink_many,0.6958500742912292,0.2582947124313257,183.515501357615,0,11,96,287,le
1024,2.2783894318177795,-0.0195307080844513,0.017328978,0.1191588951950018,0.008929838,0.0680290968782793,0.12500525,-0.0735122224036331,0.49514437,0.05438006063095,0.1649501317030951,0.1005374959610015,163,2,3,2,0.9922511052609316,0.0013916555701947,30,9,1,protein,53264520,0.2263390362262725,2.951268,sink_many,0.3449795007705688,0.903555780161224,447.790135262534,0,261,269,276,le
1024,2.266874501353912,0.2499414683301926,0.039031602,0.2519889278337744,0.045869064,0.2438219521517053,0.0634032,-0.1087346999918956,3564.6265,0.3904496783372247,0.1359062865935979,0.2596879082589656,141,3,2,1,0.4831602413493218,0.0005723554360887,2,9,1,protein,1466960,0.0902448527514934,1.4153228,sink_many,0.9619348764419556,0.4793605129848453,87.03789804503322,0,210,107,275,le
1024,2.4951919068876265,-0.0381627511441428,0.004278105,0.1401910690057816,0.07550825,0.153142611546644,0.15659967,0.1134828689695113,2.221615,0.0132047918308857,0.3893850318300826,0.082804673302736,78,1,4,2,0.5144728203909137,0.0014740551020627,49,9,1,protein,7413504,0.4758562862873077,7.973331,sink_many,0.1996620744466781,0.3954334236969267,330.0087709669024,0,23,92,60,le
1024,2.304277518785858,-0.0952891878880944,0.021281581,0.0526586615174707,0.0023815949,0.162012538537712,0.07177519,0.0177408351629768,1.0501338,0.2903955877896547,0.2729088450546287,0.0545629883436514,147,1,2,2,0.7305107586144549,0.0048837038809036,23,9,1,protein,29328312,0.2532598525285721,4.775203,sink_many,0.197593280673027,0.3191994414746359,263.2553058918565,0,299,242,298,le
1024,2.0145762424479674,-0.0740275107945215,0.012806738,-0.0675869582219638,0.045062836,-0.1396468215397313,0.045116454,-0.0933329418962224,0.60973066,0.3383653115147008,0.2806543406456991,0.2719117218468627,151,0,1,3,0.0769419706100682,0.0013920416472622,7,9,1,protein,3648008,0.0505846351385116,4.187509,sink_many,0.3520414233207702,0.6642168257443041,140.047830786556,0,61,238,248,le
1024,2.338598934978714,0.0030060586803725,5.026546e-06,0.0476784478947768,0.00019893353,0.0377003199256643,2.9719604e-05,0.030745092053459,0.6176335,0.3095471576917506,0.1515222246296967,0.0398190859170487,132,1,1,2,0.0,0.0017034463039018,3,9,1,protein,794400,0.0425783812999725,3.0149026,sink_many,1.0850898490843974e-07,0.9685937130694464,101.43246236257256,0,258,112,96,le
1024,1.3085295950564195,-0.0595531532382423,0.013072946,0.2144454434115972,0.016446237,0.0920791965923942,0.009512371,-0.056402379504182,0.34328368,0.1098116234798163,0.2024760046559231,0.1919294465457856,196,3,2,1,0.322868964715797,0.0028803040813433,38,9,1,protein,55321008,0.0602060221135616,2.73721,sink_many,3.27715419246033e-08,0.5917372847288758,592.4272450581193,0,294,211,245,le
1024,2.300488501719265,0.0463241948174413,0.04834561,0.1303718885120796,0.12138429,0.2161765978492048,0.13000835,0.2040137455827166,0.94067806,0.2861137699698766,0.0991714610200106,0.1047665315723756,63,4,1,4,0.0,0.0014408439228943,8,9,1,protein,4303168,0.6240288138389587,0.8586867,sink_many,0.4700499534606933,0.0,75.84710446745157,0,150,177,88,le
1024,3.0959485182487487,0.0541840286597286,0.03894255,0.0621661118749395,0.0490617,0.102721992782429,0.062798865,-0.1405612884571435,9.857396,0.3809328046114603,0.3202478346574219,0.3070222802803503,114,0,2,1,0.6263312832848481,0.0019261265699204,3,9,1,protein,62724,0.0491759784519672,2.919652,sink_many,0.5860277891159058,0.3000283460479046,81.64598919264972,0,15,43,252,le
